seed,episode,policy,return_value
11,0,reference,133.0
11,0,learned_model,168.0
11,1,reference,261.0
11,1,learned_model,261.0
11,2,reference,164.0
11,2,learned_model,160.0
11,3,reference,105.0
11,3,learned_model,105.0
11,4,reference,241.0
11,4,learned_model,241.0
11,5,reference,72.0
11,5,learned_model,72.0
11,6,reference,151.0
11,6,learned_model,151.0
11,7,reference,67.0
11,7,learned_model,67.0
11,8,reference,122.0
11,8,learned_model,122.0
11,9,reference,82.0
11,9,learned_model,82.0
11,10,reference,94.0
11,10,learned_model,94.0
11,11,reference,185.0
11,11,learned_model,182.0
11,12,reference,115.0
11,12,learned_model,112.0
11,13,reference,298.0
11,13,learned_model,298.0
11,14,reference,205.0
11,14,learned_model,201.0
11,15,reference,114.0
11,15,learned_model,111.0
11,16,reference,86.0
11,16,learned_model,86.0
11,17,reference,225.0
11,17,learned_model,222.0
11,18,reference,200.0
11,18,learned_model,200.0
11,19,reference,128.0
11,19,learned_model,128.0
22,0,reference,248.0
22,0,learned_model,248.0
22,1,reference,145.0
22,1,learned_model,145.0
22,2,reference,144.0
22,2,learned_model,287.0
22,3,reference,292.0
22,3,learned_model,292.0
22,4,reference,71.0
22,4,learned_model,71.0
22,5,reference,286.0
22,5,learned_model,286.0
22,6,reference,114.0
22,6,learned_model,120.0
22,7,reference,98.0
22,7,learned_model,98.0
22,8,reference,88.0
22,8,learned_model,89.0
22,9,reference,90.0
22,9,learned_model,90.0
22,10,reference,140.0
22,10,learned_model,142.0
22,11,reference,222.0
22,11,learned_model,222.0
22,12,reference,191.0
22,12,learned_model,203.0
22,13,reference,131.0
22,13,learned_model,141.0
22,14,reference,251.0
22,14,learned_model,251.0
22,15,reference,146.0
22,15,learned_model,158.0
22,16,reference,141.0
22,16,learned_model,141.0
22,17,reference,182.0
22,17,learned_model,200.0
22,18,reference,244.0
22,18,learned_model,248.0
22,19,reference,92.0
22,19,learned_model,95.0
33,0,reference,134.0
33,0,learned_model,131.0
33,1,reference,213.0
33,1,learned_model,213.0
33,2,reference,67.0
33,2,learned_model,67.0
33,3,reference,171.0
33,3,learned_model,173.0
33,4,reference,162.0
33,4,learned_model,160.0
33,5,reference,211.0
33,5,learned_model,209.0
33,6,reference,106.0
33,6,learned_model,106.0
33,7,reference,80.0
33,7,learned_model,78.0
33,8,reference,78.0
33,8,learned_model,78.0
33,9,reference,212.0
33,9,learned_model,211.0
33,10,reference,102.0
33,10,learned_model,100.0
33,11,reference,152.0
33,11,learned_model,152.0
33,12,reference,104.0
33,12,learned_model,102.0
33,13,reference,75.0
33,13,learned_model,75.0
33,14,reference,183.0
33,14,learned_model,183.0
