seed,epoch,n_transitions,mse
11,0,600,0.017851718669561183
11,1,600,0.0014250000114675219
11,2,600,0.00032734767806495685
11,3,600,9.811804338824003e-05
11,4,600,5.0669458850231755e-05
11,5,600,3.5727725595566695e-05
11,6,600,2.785022038312347e-05
11,7,600,2.2791076231729485e-05
11,8,600,1.9528932046485256e-05
11,9,600,1.660574474188156e-05
11,10,600,1.4653294262021325e-05
11,11,600,1.3171003750980356e-05
11,12,600,1.2226897098643302e-05
11,13,600,1.1061330458591999e-05
11,14,600,1.0277668388880557e-05
11,15,600,9.259770515774635e-06
11,16,600,8.65832461577635e-06
11,17,600,8.047103428428895e-06
11,18,600,7.478113820980071e-06
11,19,600,7.148367891013072e-06
11,20,600,6.476563856650548e-06
11,21,600,5.995076191155884e-06
11,22,600,5.608370391105142e-06
11,23,600,5.364591377081906e-06
11,24,600,4.8942355449885085e-06
11,25,600,4.6023100917648795e-06
11,26,600,4.398472768977961e-06
11,27,600,4.132741864132664e-06
11,28,600,3.791221046125621e-06
11,29,600,3.561215668780373e-06
11,30,600,3.4281134072731028e-06
11,31,600,3.2221713665517445e-06
11,32,600,2.934925581891883e-06
11,33,600,2.7621279610014568e-06
11,34,600,2.5969218163960536e-06
11,35,600,2.5192142563929864e-06
11,36,600,2.427837426024014e-06
11,37,600,2.261342148071172e-06
11,38,600,2.0686045517274917e-06
11,39,600,1.942733962024297e-06
11,40,600,1.9297391633555986e-06
11,41,600,1.8463747368825447e-06
11,42,600,1.7370182427767808e-06
11,43,600,1.6567160353013989e-06
11,44,600,1.533180932256073e-06
11,45,600,1.4660396408616132e-06
11,46,600,1.3599891576033863e-06
11,47,600,1.3017151430679072e-06
11,48,600,1.3191236091284066e-06
11,49,600,1.2406813186173261e-06
11,50,600,1.1730612180527763e-06
11,51,600,1.0941179033651632e-06
11,52,600,1.039813280625056e-06
11,53,600,9.877571409034367e-07
11,54,600,9.60311948454929e-07
11,55,600,9.5441392707136e-07
11,56,600,8.705016942880511e-07
11,57,600,8.525777221429485e-07
11,58,600,8.330860418637761e-07
11,59,600,7.791445613604179e-07
11,60,600,7.569762146886206e-07
11,61,600,6.959587324217864e-07
11,62,600,7.060681765013119e-07
11,63,600,6.629384921253452e-07
11,64,600,6.206113105714681e-07
11,65,600,6.094981301885127e-07
11,66,600,6.007948639451473e-07
11,67,600,5.84390518030743e-07
11,68,600,5.518415138651204e-07
11,69,600,5.458390627441795e-07
11,70,600,5.314404545156562e-07
11,71,600,5.170829033910482e-07
11,72,600,4.955836245519669e-07
11,73,600,4.675701718856305e-07
11,74,600,4.6824417327833975e-07
11,75,600,4.3552732725067085e-07
11,76,600,4.280873611151037e-07
11,77,600,4.275238513616243e-07
11,78,600,4.407752959722482e-07
11,79,600,4.1586391687001436e-07
11,80,600,3.8844195168956887e-07
11,81,600,3.839851898060499e-07
11,82,600,3.7727941685859966e-07
11,83,600,3.7707697844636734e-07
11,84,600,3.946183176439215e-07
11,85,600,3.713437316240455e-07
11,86,600,3.783552722025936e-07
11,87,600,3.576673099072841e-07
11,88,600,3.395155510744237e-07
11,89,600,3.3161979421205813e-07
11,90,600,3.309339663216729e-07
11,91,600,3.112912076786463e-07
11,92,600,3.215866969771684e-07
11,93,600,3.2896749719145045e-07
11,94,600,3.068271587680053e-07
11,95,600,3.0891074471271986e-07
11,96,600,3.285785824477659e-07
11,97,600,3.2581490628265446e-07
11,98,600,2.955687951324954e-07
11,99,600,3.040957959922851e-07
11,100,600,3.0778666027081754e-07
11,101,600,2.8567029630721663e-07
11,102,600,2.765428387431855e-07
11,103,600,2.789179980685443e-07
11,104,600,2.861401370068961e-07
11,105,600,2.743516525446179e-07
11,106,600,2.719351236261278e-07
11,107,600,2.544044145966645e-07
11,108,600,2.5407265538708664e-07
11,109,600,2.4152166014047046e-07
11,110,600,2.3735759556661593e-07
11,111,600,2.4393314345759696e-07
11,112,600,2.183235008451926e-07
11,113,600,2.4820717858107715e-07
11,114,600,2.3059026269241878e-07
11,115,600,2.260354079160271e-07
11,116,600,2.381125802075028e-07
11,117,600,2.3029407153193174e-07
11,118,600,2.417063526356861e-07
11,119,600,2.3231075105238567e-07
22,0,600,0.01721064655820986
22,1,600,0.0010899937002441698
22,2,600,0.00028709620294792233
22,3,600,0.00010422993002162243
22,4,600,5.773128131726194e-05
22,5,600,4.1025611723230936e-05
22,6,600,3.036183933497676e-05
22,7,600,2.386569503869396e-05
22,8,600,1.8885346147917997e-05
22,9,600,1.5920933401503133e-05
22,10,600,1.3235334527531737e-05
22,11,600,1.1247884111454417e-05
22,12,600,9.693798983789747e-06
22,13,600,8.504416028268967e-06
22,14,600,7.440872923325514e-06
22,15,600,6.7464368265446895e-06
22,16,600,5.940763613628071e-06
22,17,600,5.519059780118894e-06
22,18,600,5.046889737059246e-06
22,19,600,4.529809957363651e-06
22,20,600,4.2017623017224984e-06
22,21,600,3.904340118615915e-06
