seed,algorithm,noise_level,real_steps,planning_updates,greedy_return,optimal_return,policy_loss
11,Q-learning,0.0,0,0,-2.0000000000000013,6.263607903500317,8.263607903500318
11,Q-learning,0.0,100,0,-1.9941272453715781,6.263607903500317,8.257735148871895
11,Q-learning,0.0,200,0,-1.9467753573327895,6.263607903500317,8.210383260833106
11,Q-learning,0.0,300,0,-1.9714223431186635,6.263607903500317,8.23503024661898
11,Q-learning,0.0,400,0,-1.2972011536086308,6.263607903500317,7.560809057108948
11,Q-learning,0.0,500,0,5.755159476596751,6.263607903500317,0.5084484269035654
11,Q-learning,0.0,600,0,5.885041629968646,6.263607903500317,0.3785662735316704
11,Q-learning,0.0,700,0,5.885041629968646,6.263607903500317,0.3785662735316704
11,Q-learning,0.0,800,0,5.885041629968646,6.263607903500317,0.3785662735316704
11,Q-learning,0.0,900,0,5.885041629968646,6.263607903500317,0.3785662735316704
11,Q-learning,0.0,1000,0,5.885195502892836,6.263607903500317,0.3784124006074805
11,Q-learning,0.0,1100,0,5.885195502892836,6.263607903500317,0.3784124006074805
11,Q-learning,0.0,1200,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1300,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1400,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1500,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1600,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1700,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1800,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,1900,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2000,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2100,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2200,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2300,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2400,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2500,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2600,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2700,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2800,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,2900,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3000,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3100,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3200,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3300,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3400,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3500,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3600,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3700,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3800,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,3900,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4000,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4100,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4200,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4300,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4400,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4500,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4600,0,5.885803638907915,6.263607903500317,0.3778042645924016
11,Q-learning,0.0,4700,0,5.885803638907915,6.263607903500317,0.3778042645924016
