mdp_id,num_states,seed,branch_length,p_left,p_right,r_left,r_right,step_cost,gamma
0,6,42,2,0.8658317659628079,0.7599719739716696,1.0394736058118728,1.0,0.01963433527455134,0.98
1,8,43,3,0.8065662985458495,0.7845633398584279,1.067842516502206,0.9421567679363555,0.008370578453054367,0.95
2,8,44,3,0.838716961215916,0.7781398884338029,1.0938367896288845,1.0,0.017859405103351572,0.9
3,8,45,3,0.8792736717755304,0.7829086477953378,1.0623385534019214,0.9504973594657912,0.016690095085966812,0.95
4,8,46,3,0.8115840189817615,0.7643270433898977,1.0243700964492266,0.836244982957141,0.006274201804081649,0.98
5,6,47,2,0.9130503225679412,0.8465322687449928,0.9207450059295784,0.7267116729609463,0.009811254813189216,0.98
6,6,48,2,0.889366023504401,0.817985968999,1.0388983808014807,0.9014489658458704,0.01794675207763905,0.95
7,6,49,2,0.8889825890254598,0.8297875678290411,1.0247398571353228,0.8866932154450434,0.005203787925170295,0.95
8,8,50,3,0.9250504001875374,0.8502599541691149,1.0946898192280226,1.0,0.01470385014875326,0.98
9,6,51,2,0.846070754118311,0.8005800906768752,0.9445237049980443,0.7830069452745867,0.008250620670905736,0.98
10,8,52,3,0.8861339443452938,0.814179586426301,0.9012779083006307,0.7822252776371679,0.01952507648470693,0.95
11,8,53,3,0.9078365980651552,0.8547238789500556,1.0866177327240054,1.0,0.014996549601656639,0.9
12,6,54,2,0.877786995632443,0.849821598437802,1.0154879419530503,0.9799862720803311,0.011829342160889073,0.9
13,8,55,3,0.9305968417574512,0.8887606518731889,0.9460194301223911,0.8373256722582098,0.016298343560214746,0.98
14,6,56,2,0.8025354221717965,0.6844553153948689,1.0449208424247602,0.9269626538030712,0.008534305134005256,0.98
15,6,57,2,0.8702467952326353,0.7661234282574474,0.9680639615717384,0.8771760760524447,0.007346629769166959,0.98
16,8,58,3,0.9319750413846156,0.8876658961688945,0.9416840931230719,0.7694377651476082,0.007108594620302732,0.9
17,8,59,3,0.9239099252298253,0.8922155472051003,0.9754859217351373,0.9219586987093444,0.007404239010293557,0.95
18,6,60,2,0.8040719587842508,0.7785998700400284,1.0980983042603094,0.9227061116371452,0.013257952526798556,0.9
19,6,61,2,0.91579034272884,0.8286760323787835,1.0418309673081316,0.9437554645392245,0.019959028519777447,0.95
20,6,62,2,0.9121659956022768,0.8140962571684797,0.9575710658557066,0.812788511604303,0.018891091388273946,0.95
21,6,63,2,0.9488388303289436,0.9,1.0010575224445233,0.9449892828967077,0.007584921587243051,0.95
22,8,64,3,0.8785009443711114,0.8519298506282069,0.9637117556312298,0.7891966185091941,0.006268380530835026,0.98
23,6,65,2,0.8777333266309381,0.8202474702938086,0.9457357046627857,0.7562255298775158,0.013917523203682527,0.9
24,8,66,3,0.903922719668649,0.8766292420457208,1.0248507610862474,0.9197973236482933,0.01773528133373431,0.98
