env_id,seed,step,eval_return,n_states,n_trajectories,positives,rho_sigma_dyn_y_A,rho_sigma_dyn_y_B,rho_sigma_dyn_y_C,auroc_sigma_dyn,rho_sigma_Q_y_A,rho_sigma_Q_y_B,rho_sigma_Q_y_C,auroc_sigma_Q,rho_sigma_grad_aQ_y_A,rho_sigma_grad_aQ_y_B,rho_sigma_grad_aQ_y_C,auroc_sigma_grad_aQ,rho_S_cont_y_A,rho_S_cont_y_B,rho_S_cont_y_C,auroc_S_cont,rho_disag_A_y_A,rho_disag_A_y_B,rho_disag_A_y_C,auroc_disag_A,rho_inv_curv_y_A,rho_inv_curv_y_B,rho_inv_curv_y_C,auroc_inv_curv,rho_curv_h_y_A,rho_curv_h_y_B,rho_curv_h_y_C,auroc_curv_h,rho_random_y_A,rho_random_y_B,rho_random_y_C,auroc_random,delta1_mean,delta1_low,delta1_high,delta1_frozen_low,delta1_frozen_high,delta2_mean,delta2_low,delta2_high,delta2_frozen_low,delta2_frozen_high
Hopper-v4,42,50000,395.5192148125759,2000,25,200,0.19183524140108502,0.7315329466575615,0.3569978573270484,0.6003527777777777,0.2116091805496759,0.3892275652028517,0.561844019706272,0.5998111111111111,0.20519424849392454,0.37818918918911826,0.46062713046627657,0.5930583333333334,0.10567200728754829,0.2684229432063944,0.15661039739777324,0.5675611111111111,0.4544058015279138,0.26508214695121507,0.22353636547502642,0.8218847222222222,-0.001278023189882005,0.06310584038870055,-0.0889879908589359,0.5202347222222222,0.001278023189882005,-0.06310584038870055,0.0889879908589359,0.4797652777777778,0.05531643328216692,0.03941381636823428,0.02251431680916552,0.5445305555555555,-0.10713015240802182,-0.15670419352022003,-0.06370066036087099,-0.15345759990601596,-0.06245654821047896,-0.08741620967770924,-0.14099062461344777,-0.03351258547489939,-0.1423640330446118,-0.0342103796196352
Hopper-v4,42,150000,908.6190494895529,2000,25,200,0.21726689034542587,0.7643891195972798,0.4699159261525093,0.6925027777777778,0.15787025414557848,0.5611203127800781,0.5134001325186726,0.6427333333333334,0.17610935062326433,0.43984262596065643,0.38563210183797647,0.6652916666666666,0.12660454180651798,0.2894717913679478,0.22168342053802037,0.6325444444444445,0.446817936810849,0.1992803861820293,0.15320681000745806,0.8557208333333334,0.025450874516214354,0.05142222428388952,0.009431502203076165,0.5363097222222222,-0.025450874516214354,-0.05142222428388952,-0.009431502203076165,0.46369027777777777,-0.010180474907610284,-0.005774166695706987,-0.013347829943294856,0.5063472222222222,-0.031757263656479635,-0.0819469743432397,0.019116645805358247,-0.0801929364285323,0.020254028999362145,-0.09080218498926128,-0.14604406422920513,-0.03469213270137467,-0.14802823439160825,-0.03407355121409393
Hopper-v4,43,50000,391.8036982429344,2000,25,200,0.27434505783827856,0.7719247974811994,0.46901351916798295,0.6737361111111111,0.10760518222478284,0.4997892949473237,0.5354536923992042,0.5612277777777778,0.06662113234474935,0.3693437753359438,0.40705626513314075,0.5335361111111111,0.1112926647094229,0.24878492469623115,0.13787992804670582,0.5862972222222222,0.4369210498939672,0.24719939898170565,0.12762335680128295,0.82285,0.053067872647620834,-0.004292114640629467,-0.1237210197166532,0.5512847222222222,-0.053067872647620834,0.004292114640629467,0.1237210197166532,0.44871527777777775,-0.057552041289700276,-0.05431894657973665,-0.0520502328909059,0.4627222222222222,0.0027722122068581934,-0.05171760397915587,0.055416924424308796,-0.05021785056290787,0.05465191873702259,-0.16394539143572023,-0.2090403446186136,-0.11689021246494571,-0.20694007187291344,-0.11898453262264776
Hopper-v4,43,150000,1425.4437625804271,2000,25,200,0.21203155863691964,0.7475230838807709,0.46501584923967626,0.6596777777777778,0.1495846103073009,0.4926579931644983,0.5103080088842423,0.6341805555555555,0.1352473377708332,0.43663896415974096,0.43305967730433115,0.5956583333333333,0.046147578859977265,0.16202389650597412,0.10779896404527899,0.5716416666666667,0.4496448909923827,0.23937651307049856,0.15069284646468434,0.8611736111111111,-0.038292866891433464,-0.10986312043958744,-0.16842997972715468,0.5151694444444445,0.038292866891433464,0.10986312043958744,0.16842997972715468,0.48483055555555554,0.01883215021201999,0.00032442908110727025,-0.015458529668945913,0.516875,-0.10338950764477625,-0.15878978302552454,-0.04772303353846295,-0.16030495312731358,-0.04881940751468488,-0.16617370539188334,-0.2062728120742004,-0.1259795934587312,-0.20610281128543373,-0.12191744145534548
Walker2d-v4,42,50000,424.2001068781481,2000,25,200,0.10485419361321092,0.8849871622467905,0.6001674021422272,0.5733277777777778,0.11709757628462164,0.7366489226622306,0.6450264682079266,0.5555805555555555,0.07820287434708814,0.6653940613485153,0.5182201472210322,0.5490722222222222,0.06668305358450402,-0.08230898507724627,0.001387972100115962,0.5436694444444444,0.26336553191902345,-0.12983400563137157,-0.06943176722001151,0.6760819444444445,0.022104354050980258,-0.3683980824147761,-0.24021439817906673,0.5118472222222222,-0.022104354050980258,0.3683980824147761,0.24021439817906673,0.48815277777777777,0.00013439579036998028,-0.005835683958920989,0.022089722572132518,0.5279861111111112,-0.04842431189954736,-0.1095305603404736,0.015491130118026908,-0.11248691625137686,0.01178484364549358,-0.035631419658416895,-0.10588202924293648,0.032423989160444484,-0.1063239055903354,0.029847837837095895
Walker2d-v4,42,150000,2489.5837063030294,2000,25,200,0.25727182368699636,0.8859892704973175,0.6639565874413819,0.6250055555555556,0.21137452401416681,0.7181135995283998,0.7020467756352685,0.6054222222222222,0.24817102544847666,0.7457559859389965,0.6560503733254813,0.6304694444444444,0.11262731088233452,0.33314862378715593,0.24790970659683528,0.5628055555555556,0.4196940267762337,0.20849305121288936,0.17401145989879763,0.7717833333333334,-0.02985242585853523,-0.09211066500985178,-0.1350689909620082,0.4880125,0.02985242585853523,0.09211066500985178,0.1350689909620082,0.5119875,-0.01898794088681911,-0.015434985858746465,0.0007431399488828291,0.49444166666666667,-0.0987507689411154,-0.1569502281503257,-0.04459052530296919,-0.15372839032462063,-0.04301442709786695,-0.14325422174736807,-0.20289151003799483,-0.08152184989253482,-0.2051385912043093,-0.08151099807194238
Walker2d-v4,43,50000,533.2538332781643,2000,25,200,0.2228526030583811,0.8514313078578268,0.5926747594744611,0.586425,0.2579978317232115,0.7367541476885369,0.6307816766012211,0.5929888888888889,0.19810853125460187,0.6888624657156165,0.5562398897701022,0.5541805555555556,0.10440674050362773,0.026055723513930876,0.0320602085992102,0.572475,0.36968109567199026,0.07811308550539467,0.10141490506717529,0.7103319444444445,-0.04417000787359719,-0.3699726562820159,-0.2996504517845146,0.51885,0.04417000787359719,0.3699726562820159,0.2996504517845146,0.48115,0.03246897783825352,-0.001548230637638246,-0.021206361115209363,0.5090972222222222,-0.15403553020715063,-0.23660932329697576,-0.07061430545717753,-0.2322840140243891,-0.06545881872341512,-0.11948209899216286,-0.20104475191715837,-0.03575440641621789,-0.19885520410519958,-0.028729151541222207
Walker2d-v4,43,150000,2534.735855444728,2000,25,200,0.22183057250142407,0.8116864792260022,0.5487960678563388,0.5903611111111111,0.19061388685257755,0.6535508668877167,0.5892748355595683,0.5948611111111111,0.14254730552573938,0.6463124455781113,0.48977716424494583,0.5766888888888889,0.08630682788484996,0.05581728645432161,0.09035318810018421,0.5455555555555556,0.40475115261343897,0.1586117701190704,0.13481166959823343,0.7392291666666667,-0.020220514188262324,-0.3216122947261842,-0.20936160926358674,0.4905569444444444,0.020220514188262324,0.3216122947261842,0.20936160926358674,0.5094430555555556,-0.020236884155148366,-0.01631230007807502,0.006009876119661615,0.474325,-0.10485248615812214,-0.1552207930981739,-0.054155999182221075,-0.15713184028706836,-0.05351462295268042,-0.136489306201761,-0.19701212606194882,-0.07652239211505735,-0.19792160918249177,-0.07479881485662991
HalfCheetah-v4,42,50000,2430.4421228425867,2000,25,200,0.25017516060388983,0.8205367691341922,0.5233583028746132,0.5809111111111112,0.14695072994482644,0.5077426464356616,0.4823423158090923,0.5479805555555556,0.12951032617503627,0.4800961380240345,0.4544003215316808,0.5258083333333333,0.0921377695177075,0.18901600275400066,0.1375183928358758,0.5818361111111111,0.37460059665925655,0.2656875094425595,0.197690093949938,0.738675,0.03600275891747741,-0.017206953034032125,-0.08681178463012293,0.577725,-0.03600275891747741,0.017206953034032125,0.08681178463012293,0.422275,0.021998468647094507,0.03170447742611936,0.037668846473714886,0.5373694444444445,-0.05541985823910769,-0.11493827065907854,0.003046541541257295,-0.11649321426303857,0.004526642201845762,-0.15884008938355224,-0.1971419936150137,-0.12294574062268739,-0.19835984735428322,-0.12113203239124334
HalfCheetah-v4,42,150000,5549.148872187133,2000,25,200,0.2897788422260908,0.893092324273081,0.49024280450275376,0.6079861111111111,0.19099979480594967,0.5130758977689743,0.5106515219875966,0.6019333333333333,0.2729172423989736,0.7088213567053391,0.4583124961714834,0.622525,0.04995368123422336,0.14590114097528525,0.05750496870446034,0.552925,0.3535421627691588,0.24437997992260527,0.13087638770625817,0.7465888888888889,-0.09770719514274477,-0.24505369864072116,-0.19659937133023647,0.48228472222222224,0.09770719514274477,0.24505369864072116,0.19659937133023647,0.5177152777777778,0.008810986561425751,-0.004053784013446003,-0.0031367813430099867,0.49395,-0.14005347957251474,-0.19836618568364528,-0.0819248859245867,-0.19757486466388935,-0.0859038384911512,-0.23889257784366896,-0.300859280423683,-0.18071980254184855,-0.29668392190796317,-0.1808838857429205
